Word,Subj,Prime.Word,Prime.Condition,Prime.ISI,Prime.Dur,Dur,RT,Group,Trial,Prime.Freq,Freq,TransProb,LSA,mfcc,LevenshteinDist,logRT,Prime.logRT
babes,1,sneeze,z_o,0.434781274,0.829886615,0.735056698,804,1,152,2.017,2.143,0.583033369,0.04,2295.483583,3,6.689599269,6.658011046
babes,10,sneeze,z_o,0.574706511,0.829886615,0.735056698,867,1,140,2.017,2.143,0.583033369,0.04,2295.483583,3,6.765038977,6.748759547
babes,23,leagues,z_pl,0.468175109,0.715306103,0.735056698,758,2,161,1.9494,2.143,0.583033369,0.11,1758.334853,3,6.630683386,6.910750788
babes,25,sneeze,z_o,0.573241725,0.829886615,0.735056698,1227,1,72,2.017,2.143,0.583033369,0.04,2295.483583,3,7.112327445,7.230563153
babes,13,sneeze,z_o,0.44339798,0.829886615,0.735056698,792,1,137,2.017,2.143,0.583033369,0.04,2295.483583,3,6.674561392,6.859614904
babes,37,sneeze,z_o,0.494787029,0.829886615,0.735056698,900,1,113,2.017,2.143,0.583033369,0.04,2295.483583,3,6.802394763,6.878326468
babes,14,leagues,z_pl,0.435458523,0.715306103,0.735056698,950,2,53,1.9494,2.143,0.583033369,0.11,1758.334853,3,6.856461985,6.895682698
babes,4,sneeze,z_o,0.492813571,0.829886615,0.735056698,875,1,173,2.017,2.143,0.583033369,0.04,2295.483583,3,6.774223886,7.463936604
babes,40,sneeze,z_o,0.446454101,0.829886615,0.735056698,853,1,116,2.017,2.143,0.583033369,0.04,2295.483583,3,6.748759547,6.841615476
babes,16,sneeze,z_o,0.448481155,0.829886615,0.735056698,984,1,53,2.017,2.143,0.583033369,0.04,2295.483583,3,6.891625897,6.668228248
babes,28,sneeze,z_o,0.526227368,0.829886615,0.735056698,970,1,65,2.017,2.143,0.583033369,0.04,2295.483583,3,6.877296071,6.887552572
babes,2,leagues,z_pl,0.40905262,0.715306103,0.735056698,936,2,111,1.9494,2.143,0.583033369,0.11,1758.334853,3,6.841615476,7.830028083
babes,9,league,z_sing,0.488515048,0.653446734,0.735056698,769,3,180,2.7839,2.143,0.583033369,0,2215.927321,4,6.64509097,6.86171134
babes,17,leagues,z_pl,0.596001871,0.715306103,0.735056698,880,2,140,1.9494,2.143,0.583033369,0.11,1758.334853,3,6.779921907,7.224753406
babes,34,sneeze,z_o,0.543836572,0.829886615,0.735056698,1022,1,185,2.017,2.143,0.583033369,0.04,2295.483583,3,6.929516771,6.668228248
babes,18,league,z_sing,0.444612081,0.653446734,0.735056698,1204,3,116,2.7839,2.143,0.583033369,0,2215.927321,4,7.093404626,7.160069208
babes,30,league,z_sing,0.556919438,0.653446734,0.735056698,815,3,113,2.7839,2.143,0.583033369,0,2215.927321,4,6.703188113,7.037905963
babes,19,sneeze,z_o,0.498500886,0.829886615,0.735056698,1075,1,72,2.017,2.143,0.583033369,0.04,2295.483583,3,6.980075941,6.814542897
babes,32,leagues,z_pl,0.502283587,0.715306103,0.735056698,683,2,176,1.9494,2.143,0.583033369,0.11,1758.334853,3,6.52649486,6.854354502
babes,39,league,z_sing,0.484120203,0.653446734,0.735056698,967,3,164,2.7839,2.143,0.583033369,0,2215.927321,4,6.874198495,6.932447892
