Subj,S_lowBound,S_highBound
147,628,1396
31,613,1244
7,742,1630
143,559,1500
218,665,2430
81,696,1800
78,707,1124
227,713,2000
75,572,1289
201,641,1614
71,653,1970
52,598,2329
116,677,1400
18,627,2000
136,773,2500
63,624,2000
91,646,1700
106,784,1362
56,850,1678
130,676,1500
224,629,1675
5,526,2000
89,609,1829
158,690,1383
43,818,1642
190,665,2747
110,530,2310
44,653,1438
228,605,1500
220,677,1970
205,858,2500
178,796,2101
176,667,1500
215,625,2500
162,647,1400
165,0,1500
65,601,1500
175,0,1500
96,736,2450
26,763,2780
117,760,1544
53,577,1500
185,820,1500
225,583,2000
177,658,1354
152,828,1928
73,736,2592
84,558,1577
90,710,1699
105,764,2000
167,699,1400
193,944,2612
99,628,2500
189,715,1855
83,985,2318
144,682,2000
192,630,1274
126,593,1250
140,774,2000
118,687,1500
32,677,1100
33,883,2100
35,576,1725
138,836,2006
57,651,1400
171,513,1500
150,697,1500
87,693,1400
204,655,1511
111,778,1927
217,740,1502
28,721,2000
179,735,1800
50,741,1800
16,849,1500
159,567,2000
92,587,2000
21,467,1600
145,897,1600
154,429,1910
169,597,1500
151,755,1279
219,791,1311
55,761,1400
24,652,2282
188,645,1194
74,704,1500
133,716,2537
213,714,1199
102,577,1285
155,658,1670
94,637,1850
2,663,1627
107,783,1500
47,645,1500
98,607,1400
166,586,1400
137,602,1500
103,601,1500
184,700,1319
142,461,1623
59,675,2000
186,694,1910
101,748,1800
181,749,2000
148,598,1399
22,626,2500
122,605,1500
97,620,2404
86,788,2000
46,679,1500
67,800,1300
114,576,1873
58,789,1822
88,782,1422
212,634,1250
40,746,2000
229,682,1800
9,768,2000
39,500,2500
170,717,1448
8,735,1482
208,541,1600
230,533,1355
223,626,1148
66,707,2000
4,640,1538
135,569,2478
109,613,2000
23,591,1616
202,617,1529
49,741,1200
48,611,1380
15,977,2324
194,772,1344
68,718,1492
183,846,3000
182,843,1500
209,698,1300
206,507,1422
72,629,1160
163,576,1405
196,811,1587
128,771,2576
79,751,1401
38,638,1500
207,750,1831
221,655,2038
214,827,2973
231,684,1400
119,661,2127
161,655,1138
3,779,2209
104,871,2784
27,785,1803
124,750,1403
60,614,1261
123,605,1500
172,733,2358
80,604,1700
13,728,1411
70,691,1469
19,699,1546
121,675,2531
141,607,2990
64,743,1492
131,638,1250
112,706,2277
226,593,1201
6,666,1237
30,588,1716
153,771,1776
100,716,1606
180,864,1577
222,684,1983
29,396,1338
10,611,1267
11,673,1400
197,489,1428
200,652,2000
51,608,1496
198,869,1877
85,695,1979
195,745,2931
115,750,1800
45,610,1500
203,777,2000
113,531,1440
25,800,2028
20,746,2000
199,866,2500
61,565,2000
62,702,2000
17,593,2183
191,644,1572
120,729,2211
41,698,1432
134,719,1653
157,587,1462
187,1152,2500
42,705,2784
