Word,T_lowBound,T_highBound
blades,548,1500
lambs,0,1750
frogs,0,2000
figs,0,2250
teens,609,1791
dimes,0,2000
rugs,0,2500
grams,0,2000
rags,0,1500
cones,606,2000
mules,0,1750
grains,0,2500
brides,572,2024
pods,658,2500
dunes,533,2000
joys,0,2500
lobes,715,2277
hams,577,2800
rods,513,2151
chains,689,2250
trees,396,2000
meals,604,1800
horns,702,2250
lawns,567,2500
foes,757,2000
fees,500,2500
zones,713,2000
coals,613,2500
brains,531,1900
halls,693,2500
nudes,467,2000
cords,461,2000
trends,682,2500
bars,553,2000
babes,581,2000
realms,429,2250
